Name,Published Date,Original Price,Discount Price,Reviews
PUBG: BATTLEGROUNDS,"21 Dec, 2017",N/A,Free,276384
Baldur's Gate 3,"3 Aug, 2023",$59.99,$53.99,465110
Steam Deck,,N/A,N/A,N/A
Counter-Strike 2,"21 Aug, 2012",N/A,Free,815239
Lethal Company,"23 Oct, 2023",N/A,$9.99,191863
Cyberpunk 2077,"9 Dec, 2020",$59.99,$29.99,617237
ELDEN RING,"24 Feb, 2022",$59.99,$35.99,558743
Call of Duty®,"27 Oct, 2022",N/A,N/A,505450
Apex Legends™,"4 Nov, 2020",N/A,Free,775166
EA SPORTS FC™ 24,"28 Sep, 2023",$69.99,$27.99,30079
War Thunder,"15 Aug, 2013",N/A,Free,440501
Hogwarts Legacy,"10 Feb, 2023",$59.99,$29.99,177429
Red Dead Redemption 2,"5 Dec, 2019",$59.99,$19.79,471155
Monster Hunter: World,"9 Aug, 2018",$29.99,$9.89,244431
Dota 2,"9 Jul, 2013",N/A,Free,144685
Grand Theft Auto V,"13 Apr, 2015",$39.98,$14.99,558310
THE FINALS,"7 Dec, 2023",N/A,Free,98450
Cyberpunk 2077: Phantom Liberty,"25 Sep, 2023",$29.99,$25.49,12209
Warframe,"25 Mar, 2013",N/A,Free,555645
Ready or Not,"13 Dec, 2023",N/A,$49.99,117168
Forza Horizon 5,"8 Nov, 2021",$59.99,$29.99,143076
The Sims™ 4,"18 Jun, 2020",N/A,Free,122767
Monster Hunter World: Iceborne,"9 Jan, 2020",$39.99,$14.79,15653
The Elder Scrolls® Online,"22 May, 2017",$19.99,$5.99,116789
Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",$19.99,$7.99,025522
Rust,"8 Feb, 2018",$39.99,$26.79,828150
Destiny 2,"1 Oct, 2019",N/A,Free,578863
Resident Evil 4,"23 Mar, 2023",$59.99,$29.99,75647
Yu-Gi-Oh! Master Duel,"18 Jan, 2022",N/A,Free,67920
Call of Duty®: Warzone™,"16 Nov, 2022",N/A,Free,28605
Dead by Daylight,"14 Jun, 2016",$19.99,$6.99,507776
Sekiro™: Shadows Die Twice - GOTY Edition,"21 Mar, 2019",$59.99,$29.99,190205
Party Animals,"20 Sep, 2023",$19.99,$13.99,29080
Sons Of The Forest,"23 Feb, 2023",$29.99,$23.99,153473
STAR WARS Jedi: Survivor™,"27 Apr, 2023",$69.99,$34.99,40480
Sea of Thieves 2023 Edition,"3 Jun, 2020",$39.99,$19.99,266865
Project Zomboid,"8 Nov, 2013",$19.99,$13.39,200508
Remnant II,"25 Jul, 2023",$49.99,$29.99,31631
God of War,"14 Jan, 2022",$49.99,$24.99,83678
Path of Exile,"23 Oct, 2013",N/A,Free,214176
Lies of P,"18 Sep, 2023",$59.99,$47.99,20033
Stellaris,"9 May, 2016",$39.99,$11.99,111723
It Takes Two,"25 Mar, 2021",$39.99,$9.99,127005
DAVE THE DIVER,"28 Jun, 2023",$19.99,$15.99,79898
Anno 1800,Apr 2019,$59.99,$14.99,12353
The Elder Scrolls V: Skyrim Special Edition,"27 Oct, 2016",$39.99,$7.99,149879
Diablo® IV,"17 Oct, 2023",$69.99,$41.99,10621
Euro Truck Simulator 2,"12 Oct, 2012",$19.99,$4.99,534161
Persona 5 Royal,"20 Oct, 2022",$59.99,$29.99,37111
Sunkenland,"25 Aug, 2023",$19.99,$15.99,12560
